Empresa,Aplicacao,Entrevista,Resposta,Vaga,Etapa,Remoto,Senioridade,Data Submissao,Data Entrevista,Data Resposta,Data Visualizacao,
MyIa,LinkedIn,Nao,N/A,Desenvolvedor Python,N/A,Sim,N/A,20/12/2021,N/A,N/A,N/A,
Oowlish,LinkedIn,Nao,N/A,Python Programmer - Online Job,N/A,Sim,N/A,20/12/2021,N/A,N/A,N/A,
Oowlish,LinkedIn,Nao,N/A,Python Programmer - Online Job,N/A,Sim,N/A,20/12/2021,N/A,N/A,23/12/2021,
Conecta Capital Humano - Recrutamento Para TI,LinkedIn,Nao,Generica,Desenvolvedor Python,N/A,Sim,N/A,20/12/2021,N/A,12/01/2022,N/A,
Stone,LinkedIn,Nao,Generica,Pessoa Desenvolvedora Python,N/A,Sim,N/A,20/12/2021,N/A,23/12/2021,N/A,
IT Octa,LinkedIn,Nao,N/A,Desenvolvedor Python,N/A,Sim,N/A,20/12/2021,N/A,N/A,06/01/2022,
Econodata,Site,Nao,Generica,Vaga de Data Engineer,N/A,Sim,N/A,N/A,N/A,17/01/2022,20/12/2021,
CI&T,Site,Nao,N/A,N/A,N/A,Sim,N/A,N/A,N/A,20/12/2021,N/A,
TIVIT,Kenoby,Nao,N/A,Vaga Desenvolvedor Jr (JavaScript/Python),N/A,Sim,Junior,20/12/2021,N/A,10/01/2022,N/A,
Intera,LinkedIn,Nao,Generica,N/A,N/A,Sim,N/A,N/A,N/A,20/12/2021,N/A,
CARUSO Solucoes Ambientais & Tecnologicas,LinkedIn,Nao,N/A,Desenvolvedor Python,N/A,Sim,N/A,20/12/2021,N/A,N/A,22/12/2021,
The Functionary,LinkedIn,Nao,N/A,jr Python Developer,N/A,Sim,Junior,21/12/2021,N/A,N/A,21/12/2021,
Topaz,Kenoby,Nao,N/A,Desenvolvdor Python Jr,N/A,Sim,Junior,21/12/2021,N/A,N/A,N/A,
Carreiras 3778,Gupy,Nao,Generica,Data Scientist Jr - 10 vagas - Brasil,N/A,Sim,Junior,21/12/2021,N/A,30/12/2021,N/A,
Klutch tecnologia,LinkedIn,Nao,N/A,Desenvolvedor Python,N/A,Sim,N/A,22/12/2021,N/A,N/A,04/01/2022,
Inventa - Vagas!,LinkedIn,Nao,N/A,Desenvolvedor Python,N/A,Sim,N/A,22/12/2021,N/A,N/A,N/A,
Oowlish,LinkedIn,Nao,N/A,Python Programmer - Online Job,N/A,Sim,N/A,22/12/2021,N/A,N/A,22/12/2021,
Dasa,Gupy,Nao,N/A,Engenheiro de Dados I,Cadastro,Sim,N/A,23/12/2021,N/A,N/A,N/A,
Grupo Nexxees,Gupy,Nao,N/A,Python Back-End Developer - Junior,Cadastro,Sim,Junior,24/12/2021,N/A,N/A,N/A,
Propz,Site,Nao,N/A,Cientista de Dados (Junior),N/A,Sim,Junior,27/12/2021,N/A,N/A,N/A,
CredPago,Gupy,Nao,N/A,Data Scientist,Cadastro,Sim,N/A,27/12/2021,N/A,N/A,N/A,
Projetas Solucoes Integradas - Brasil,LinkedIn,Nao,N/A,Desenvolvedor Python,N/A,Sim,N/A,N/A,N/A,N/A,28/12/2021,
Jalasoft,LinkedIn,Nao,Generica,Python Developers (Remote),N/A,Sim,N/A,29/12/2021,N/A,18/02/2022,N/A,
Shopper,LinkedIn,Nao,Generica,N/A,N/A,Sim,N/A,N/A,N/A,29/12/2021,N/A,
Kunumi (LinkedIn/Worable),LinkedIn,Nao,N/A,Cientista de Dados (Remoto),N/A,Sim,N/A,30/12/2021,N/A,03/01/2022,30/12/2021,
Gen Shop,LinkedIn,Nao,N/A,Trabalhe Conosco - Banco de Talentos,N/A,Sim,N/A,31/12/2021,N/A,N/A,N/A,
Bix Tecnologia,Workable,Nao,Generica,Engenheiro de Dados - Junior,Testes,Sim,Junior,31/12/2021,N/A,31/12/2021,31/12/2021,
Spassu Tecnologia,Gupy,Nao,N/A,Pessoa Desenvolvedora Python,Cadastro,Sim,N/A,31/12/2021,N/A,N/A,N/A,
Clicksign,Kenoby,Nao,Generica,Data Scientist,Testes,Sim,N/A,01/01/2022,N/A,22/02/2022,01/01/2022,
ParentsIN,LinkedIn,Nao,N/A,Developer Junior | Python | Machine Learning,N/A,Sim,N/A,01/01/2022,N/A,N/A,N/A,
VEGA I.T,LinkedIn,Nao,Generica,Desenvolvedor Chatbot (Part or Full Time),N/A,Sim,N/A,01/01/2022,N/A,06/01/2022,03/01/2022,
Amplifica Digital,Site,Nao,N/A,Cientista de Dados Junior,N/A,Sim,Junior,02/01/2022,N/A,N/A,N/A,
Ambizzion IT,LinkedIn,Nao,N/A,Python Developer,N/A,Sim,N/A,02/01/2022,N/A,N/A,N/A,
Virtualmind,Site,Nao,N/A,Senior Python Developer,N/A,Sim,Senior,02/01/2022,N/A,N/A,N/A,
BettrAds,LinkedIn,Nao,N/A,Python Backend Developer,N/A,Sim,N/A,02/01/2022,N/A,N/A,03/01/2022,
Vaultree,LinkedIn,Nao,N/A,Junior Developer Evangelist,N/A,Sim,Junior,02/01/2022,N/A,N/A,N/A,
Artefact,LinkedIn,Nao,N/A,Junior Data Scientist - Sao Paulo,N/A,Sim,Junior,02/01/2022,N/A,N/A,N/A,
Open Co,LinkedIn,Nao,N/A,Analista de Suporte N2,N/A,Sim,N/A,02/01/2022,N/A,N/A,N/A,
Rei do Pitaco,Kenoby,Nao,Generica,Analista de Suporte N1 Junior,N/A,Sim,Junior,02/01/2022,N/A,14/01/2022,02/01/2022,
WildLife,Site,Nao,N/A,Game Designer,N/A,Sim,N/A,02/01/2022,N/A,N/A,02/01/2022,
Aquiris Gama Studio (linkedin / workable),LinkedIn,Nao,Generica,Technical Game Designer,N/A,Sim,N/A,02/01/2022,N/A,12/01/2022,N/A,
Oktagon,Jobs,Nao,N/A,Game Tester (Quality Assurance),N/A,Sim,N/A,02/01/2022,N/A,N/A,N/A,
Grrupo Tapps Games / Tapps Ventures,Kenoby,Nao,N/A,Vaga Game Producer,N/A,Sim,N/A,02/01/2022,N/A,N/A,N/A,
BHS,Kenoby,Nao,N/A,Python Developer,N/A,Sim,N/A,03/01/2022,N/A,N/A,N/A,
Bluesky CUBE,LinkedIn,Nao,N/A,Python Developer,N/A,Sim,N/A,03/01/2022,N/A,N/A,13/01/2022,
Programmers Beyond IT,Kenoby,Nao,N/A,Data Scientist (English) (Remoto/Brasil),N/A,Sim,N/A,03/01/2022,N/A,N/A,N/A,
NPL Brasil,Coodesh,Nao,Generica,Backend Python Developer,N/A,Sim,N/A,03/01/2022,N/A,07/01/2022,N/A,
TFG Ltd. - Wildlife Studios,LinkedIn,Nao,N/A,Data Scientist,N/A,Sim,N/A,03/01/2022,N/A,N/A,03/01/2022,
OLX Brasi,SmartRecruiters,Nao,N/A,Cientista de Dados (OLX/Zap+),N/A,Sim,N/A,N/A,N/A,04/01/2022,N/A,
Puga Studios,InfoJobs,Nao,Generica,Analista de Banco de Dados,N/A,Sim,N/A,05/01/2022,N/A,N/A,17/04/2022,
Carretias 3778,Gupy,Nao,Generica,Data Scientist Jr - 10 vagas - Brasil,Resposta,Sim,Junior,05/01/2022,N/A,28/04/2022,N/A,
Thought Media,LinkedIn,Nao,N/A,Python Developer,N/A,Sim,N/A,05/01/2022,N/A,N/A,N/A,
F&MD,LinkedIn,Nao,N/A,Cientista de Dados,N/A,Sim,N/A,05/01/2022,N/A,N/A,N/A,
eMotion Studios,Gupy,Nao,Generica,Analista de Dados Junior,Cadastro,Sim,N/A,06/01/2022,N/A,12/01/2022,N/A,
Massatech Systems & Outsourcing,LinkedIn,Nao,N/A,Desenvolvedor Python,N/A,Sim,N/A,06/01/2022,N/A,N/A,07/01/2022,
Verity,Kenoby,Nao,N/A,N/A,N/A,Sim,N/A,06/01/2022,N/A,N/A,06/01/2022,
Seazone,Gupy,Nao,N/A,Analista de Dados,Cadastro,Sim,N/A,06/01/2022,N/A,N/A,N/A,
Fhinck,Forms,Nao,Personalizada,Cientista de Dados,N/A,Sim,N/A,06/01/2022,N/A,18/02/2022,N/A,
Stefanini Brasil,LinkedIn,Nao,N/A,Desenvolvedor Python,N/A,Sim,N/A,06/01/2022,N/A,N/A,N/A,
Talentify,Kenoby,Nao,Generica,Vaga Desenvolvedor Python Pleno - Remoto,N/A,Sim,Pleno,06/01/2022,N/A,N/A,21/01/2022,
Cliqx,LinkedIn,Nao,N/A,Desenvolvedor Backend Python Senior,N/A,Sim,Senior,07/01/2022,N/A,N/A,07/01/2022,
Idwall,Intera,Nao,Generica,Cientista de Dados (P&D),N/A,Inscricao,N/A,07/01/2022,N/A,10/01/2022,N/A,
Neon,LinkedIn,Nao,N/A,Analista de Dados I,N/A,Sim,N/A,07/01/2022,N/A,N/A,N/A,
Dp6,LinkedIn,Nao,N/A,Data Scientist,N/A,Sim,N/A,07/01/2022,N/A,N/A,N/A,
Sinch,LinkedIn,Nao,N/A,Conversational Developer | Desenvolvedor de Chatbot Junior,N/A,Sim,Junior,07/01/2022,N/A,N/A,N/A,
Instituto de Gestao e Tecnologia da Informacao,LinkedIn,Nao,Personalizada,Cientista de Dados Jr,N/A,Sim,Junior,07/01/2022,N/A,10/01/2022,N/A,
Magne Interactive,LinkedIn,Nao,N/A,Game Designer,N/A,Sim,N/A,07/01/2022,N/A,N/A,10/01/2022,
Grupo Habibs,LinkedIn,Nao,N/A,Analisat de Sistemas Junior,N/A,Sim,Junior,07/01/2022,N/A,N/A,N/A,
Stone,LinkedIn,Nao,Generica,Analista de Dados,Resposta,Sim,N/A,07/01/2022,N/A,06/04/2022,N/A,
Contabilizei,LinkedIn,Nao,N/A,Analista de Sistemas Junior (Suporte/Sustentacao),N/A,Sim,Junior,07/01/2022,N/A,N/A,N/A,
DXT Technology,Site,Nao,N/A,Tecnico de Suporte,N/A,Sim,N/A,07/01/2022,N/A,N/A,N/A,
Carreiras 3778,Gupy,Nao,N/A,Cientista de Dados Jr - Brasil,N/A,Sim,Junior,09/01/2022,N/A,N/A,N/A,
Enjoei,Gupy,Nao,Generica,Engenheiro de Dados junior,Resposta,Sim,Junior,09/01/2022,N/A,07/03/2022,N/A,
Linx,LinkedIn,Nao,N/A,Pessoa Desenvolvedora Python PL,N/A,Sim,Junior,09/01/2022,N/A,N/A,N/A,
New Way,Gupy,Nao,N/A,Desenvolvedor Chatbot Junior / Pleno,Cadastro,Sim,Junior,09/01/2022,N/A,N/A,N/A,
Media by Kantar,LinkedIn,Nao,N/A,Analista Desenvolvimento Junior - TI,N/A,Sim,Junior,09/01/2022,N/A,N/A,N/A,
CGE - PB,Email,Nao,N/A,Assistente Tecnico,N/A,Nao,N/A,10/01/2022,N/A,N/A,N/A,
Beegol,LinkedIn,Nao,N/A,Engenheiro de Dados,N/A,Sim,N/A,10/01/2022,N/A,N/A,11/01/2022,
Deal,LinkedIn,Nao,N/A,Desenvolvedor Python,N/A,Sim,N/A,10/01/2022,N/A,N/A,N/A,
Grupo Tapps / Tapps Ventures,Kenoby,Nao,Generica,Pessoa Desenvolvedora de Jogos III,N/A,Sim,N/A,11/01/2022,N/A,21/01/2022,N/A,
Grupo Tapps / Tapps Ventures,Kenoby,Nao,Generica,Analista de Projetos II,N/A,Sim,N/A,11/01/2022,N/A,14/01/2022,N/A,
Sympla,N/A,Nao,Personalizada,Cientista de Dados,N/A,Sim,Senior,N/A,N/A,18/01/2022,N/A,
Etho Solucoes,LinkedIn,Nao,Generica,Engenheiro de Dados (Python/Hadoop/SQL/ETL)-Junior/Pleno,N/A,Sim,Junior,12/01/2022,N/A,22/01/2022,N/A,
Global Talent Recruitment Company (Linkein / Workable),LinkedIn,Nao,N/A,Analista de Dados Jr - Campinas,N/A,Sim,Junior,12/01/2022,N/A,N/A,N/A,
Amazon,Site,Nao,N/A,Game Dev Engineer - AWS Learning Products,N/A,Sim,N/A,12/01/2022,N/A,N/A,12/01/2022,
Axonius,N/A,Nao,Generica,Backend Engineer (Brazil),N/A,Sim,N/A,12/01/2022,N/A,19/01/2022,N/A,
Aquiris Gama Studio (linkedin / workable),LinkedIn,Nao,Generica,Level Designer,N/A,Sim,N/A,12/01/2022,N/A,12/01/2022,12/01/2022,
ProWay,LinkedIn,Nao,N/A,Intrutor Java C# PHP Python flutter ou Analise de Dados,N/A,Sim,N/A,13/01/2022,N/A,N/A,N/A,
strm,LinkedIn,Nao,N/A,Desenvolvedor Python - foco em Engenharia de Dados,N/A,Sim,N/A,14/01/2022,N/A,N/A,17/01/2022,
Qexpert,Gupy,Nao,Generica,Analista de Dados Junior,N/A,Sim,Junior,N/A,N/A,14/01/2022,N/A,
Assurance,LinkedIn,Nao,N/A,Desenvolvedor Python,N/A,Sim,N/A,17/01/2022,N/A,N/A,N/A,
Minds,LinkedIn,Nao,N/A,Cientista de Dados Jr,N/A,Sim,Junior,17/01/2022,N/A,N/A,N/A,
Cloudto.do,LinkedIn,Nao,N/A,Desenvolvedor Python,N/A,Sim,N/A,17/01/2022,N/A,N/A,N/A,
Serasa,Site,Nao,N/A,Desenvolvedor Python Jr,N/A,Sim,Junior,N/A,N/A,17/01/2022,N/A,
Inmetrics,Kenoby,Nao,N/A,Desenvolvedor Back End Pl (Python),N/A,Sim,Pleno,N/A,N/A,N/A,18/01/2022,
Luizalabs,LinkedIn,Nao,N/A,Desenvolvedor Back-End - Python,N/A,Sim,N/A,19/01/2022,N/A,N/A,01/02/2022,
Prioriza Webshop,LinkedIn,Nao,N/A,Engenheiro de Dados,N/A,Sim,N/A,19/01/2022,N/A,N/A,N/A,
EVT,LinkedIn,Nao,Generica,Engenheiro de Dados,N/A,Sim,N/A,19/01/2022,N/A,22/01/2022,19/01/2022,
Magaeda.Digital,LinkedIn,Nao,N/A,Analista de Dados,N/A,Sim,N/A,19/01/2022,N/A,N/A,N/A,
Lumen Games,LinkedIn,Nao,N/A,Analista de Dados,N/A,Sim,N/A,21/01/2022,N/A,N/A,24/01/2022,
TFG Ltd. - Wildlife Studios,LinkedIn,Nao,N/A,Game Engineering Manager,N/A,Sim,N/A,21/01/2022,N/A,N/A,21/01/2022,
Adroit Robotics,LinkedIn,Nao,N/A,Desenvolvedor Python,N/A,Sim,N/A,21/01/2022,N/A,N/A,N/A,
Digitial house,Kenoby,Nao,N/A,Professor Assistente de Data Science,N/A,Sim,N/A,26/01/2022,N/A,N/A,N/A,
Boreal Fintech Data Driven,LinkedIn,Nao,Generica,Engenheiro de Dados - Python,N/A,Sim,N/A,31/01/2022,N/A,17/02/2022,14/02/2021,
Indra,Gupy,Nao,N/A,Desenvolvedor Web/Fullstack,Cadastro,Nao,N/A,01/02/2022,N/A,N/A,28/04/2022,
LDS - Pesquisa Desenvolvimento,LinkedIn,Nao,N/A,Desenvolvedor Python,N/A,Sim,N/A,04/02/2022,N/A,N/A,14/02/2022,
Grupo Boticario,Gupy,Nao,Generica,Pessoa Desenvolvedora Backend Especialista I - Python (Produtos Digitais Financeiros),N/A,Sim,N/A,04/02/2022,N/A,09/03/2022,N/A,
Prota Games,LinkedIn,Nao,N/A,Game Designer,N/A,Sim,N/A,09/02/2022,N/A,N/A,09/02/2022,
Space Sheep,Kenoby,Nao,Personalizada,Game Designer III,N/A,Sim,N/A,09/02/2022,N/A,02/05/2022,N/A,
Falconi,LinkedIn,Nao,N/A,Cientista de Dados Junior,N/A,Sim,N/A,17/02/2022,N/A,N/A,N/A,
Spassu Tecnologia,LinkedIn,Nao,Generica,Pessoa Desenvolvedora Python,N/A,Sim,N/A,N/A,N/A,14/02/2022,N/A,
Phoebus Tecnologia,LinkedIn,Nao,Generica,Engenheiro de Dados Junior (IA/BI),N/A,Sim,N/A,N/A,N/A,14/02/2022,N/A,
GM Importacao,Email,Nao,N/A,Suporte Tecnico,N/A,Nao,N/A,15/02/2022,N/A,N/A,N/A,
GM Importacao,Email,Nao,N/A,Programacao,N/A,Nao,N/A,15/02/2022,N/A,N/A,N/A,
Alpargatas,LinkedIn,Nao,Generica,Analista de Dados Junior,N/A,Sim,Junior,N/A,N/A,16/02/2022,N/A,
BLU365,LinkedIn,Nao,N/A,Engenheiro de Dados Junior/Pleno,N/A,Sim,Junior,16/02/2022,N/A,N/A,16/02/2022,
Havan,Gupy,Nao,N/A,Banco de Talentos,N/A,Nao,N/A,16/02/2022,N/A,N/A,N/A,
PEBMED,Gupy,Nao,Generica,Cientista de Dados Junior,Resposta,Sim,Junior,21/02/2022,N/A,25/02/2022,N/A,
Gympass,LinkedIn,Nao,N/A,jr Python Developer,N/A,Sim,N/A,24/02/2022,N/A,02/03/2022,N/A,
TOTVS,Gupy,Nao,N/A,Analista de Dados Junior,Resposta,Sim,Junior,N/A,N/A,24/02/2022,N/A,
Nomad Global,Gupy,Nao,Generica,Analista de Dados Junior,Resposta,Sim,Junior,27/02/2022,N/A,29/03/2022,N/A,
Zurich Santander Insurance America,LinkedIn,Nao,N/A,Analista de Dados Junior,N/A,Sim,Junior,27/02/2022,N/A,N/A,N/A,
KeyCash,LinkedIn,Nao,N/A,Data Engineer Jr,N/A,Sim,Junior,27/02/2022,N/A,N/A,N/A,
Construtora Brascon,Email,Nao,N/A,Assistente de TI,N/A,Nao,N/A,02/03/2022,N/A,N/A,N/A,
Cirne,Email,Nao,N/A,Assistente de TI,N/A,Nao,N/A,02/03/2022,N/A,N/A,N/A,
SondaRH,Site,Nao,N/A,Assistente de TI,N/A,Nao,N/A,02/03/2022,N/A,03/03/2022,N/A,
Gauge,LinkedIn,Nao,N/A,Engenheiro de dados Jr e Pleno,N/A,Sim,Junior,02/03/2022,N/A,N/A,N/A,
IBPAD,LinkedIn,Nao,Generica,Data Science Jr.,N/A,Sim,Junior,02/03/2022,N/A,06/03/2022,N/A,
Helpper - Solucoes Inteligentes,LinkedIn,Nao,N/A,Analista de Dados,N/A,Sim,N/A,08/03/2022,N/A,N/A,N/A,
Ze Delivery,LinkedIn,Nao,N/A,Data Analyst,N/A,Sim,N/A,N/A,N/A,11/03/2022,N/A,
unico Idtech,LinkedIn,Nao,N/A,Analista de dados,N/A,Sim,N/A,11/03/2022,N/A,N/A,N/A,
Grupo SITI,LinkedIn,Nao,N/A,Consultor de Dados e Sistemas Junior,N/A,Sim,N/A,11/03/2022,N/A,12/03/2022,N/A,
Viceri,Gupy,Nao,Generica,Pessoa Desenvolvedora Python,Cadastro,Sim,N/A,15/03/2022,N/A,23/03/2022,N/A,
Relevo Lab,Kenoby,Nao,N/A,Analista de Requisitos  de TI Junior,Confirmada,Sim,Junior,15/03/2022,N/A,N/A,N/A,
Bix Tecnologia,Kenoby,Nao,Generica,Cientista de Dados Junior,Resposta,Sim,Junior,16/03/2022,N/A,17/09/2022,16/03/2022,
Melhor Envio,Kenoby,Nao,N/A,Data Engineer - Junior  (Home Office),Cadastro,Sim,Junior,17/03/2022,N/A,N/A,N/A,
Confidencial,QueroVagas,Nao,N/A,Python Architect,Cadastro,Sim,N/A,18/03/2022,N/A,N/A,N/A,
PEBMED,Gupy,Nao,N/A,Pessoa Engenheira de Dados Junior,Cadastro,Sim,Junior,18/03/2022,N/A,N/A,N/A,
Insole Energia,Solides Jobs,Nao,N/A,Vaga Cientista de Dados,Cadastro,Sim,N/A,18/03/2022,N/A,N/A,N/A,
Dock,Gupy,Nao,N/A,Technical Product Owner Analyst II,Cadastro,Sim,N/A,21/03/2022,N/A,N/A,N/A,
Dock,Gupy,Nao,Generica,IT Support Analyst I,Cadastro,Sim,N/A,21/03/2022,N/A,29/03/2022,N/A,
Recriarti,LinkedIn,Nao,N/A,Desenvolvedor Python (Data Science),Cadastro,Sim,N/A,04/04/2022,N/A,N/A,08/04/2022,
MAXIM,Trabalha Brasil,Sim,N/A,Assistente de TI,Entrevista,Sim,N/A,29/03/2022,N/A,N/A,N/A,
N/A,Saffu,Nao,N/A,Suporte Tecnico,Cadastro,Nao,N/A,15/04/2022,N/A,N/A,N/A,
Qulture.Rocks,Gupy,Nao,N/A,Analista de Dados,Resposta,Sim,N/A,12/04/2022,03/05/2022,N/A,N/A,
Neon,LinkedIn,Nao,N/A,Cientista de Dados Junior,Cadastro,Sim,N/A,12/04/2022,N/A,N/A,N/A,
GMI importacao,Email,Nao,N/A,Assistente de E-Commerce,Cadastro,Nao,N/A,13/04/2022,N/A,N/A,N/A,
Sos Joao Pessoa,Email,Nao,N/A,Monitor de Rastreamento,Cadastro,Nao,N/A,01/04/2022,N/A,N/A,N/A,
Prepara Cursos Centro,Email,Nao,N/A,Professor de Informatica,Cadastro,Nao,N/A,01/04/2022,N/A,N/A,N/A,
Redesoft,Email,Sim,Personalizada,Tecnico em Operacao de Sistema,Cadastro,Nao,N/A,16/04/2022,25/04/2022,26/04/2022,N/A,
Open Co,LinkedIn,Nao,N/A,Cientista de Dados Jr.,Cadastro,Sim,N/A,17/04/2022,N/A,N/A,N/A,
Afterverse,Kenoby,Nao,N/A,N/A,Cadastro,Sim,N/A,25/04/2022,N/A,N/A,N/A,
Melhor Envio,Kenoby,Nao,Generica,Data Analyst - Junior,Resposta,Sim,Junior,25/04/2022,N/A,27/04/2022,N/A,
Heeds Technologies,Trabalha Brasil,Nao,N/A,Desenvolvedor,Cadastro,Nao,N/A,26/04/2022,N/A,N/A,N/A,
Logique Sistemas,Trabalha Brasil,Nao,N/A,Desenvolvedor,Cadastro,Sim,N/A,26/04/2022,N/A,N/A,N/A,
N/A,Trabalha Brasil,Nao,N/A,Coletor de dados,Cadastro,Sim,N/A,26/04/2022,N/A,N/A,N/A,
Confidencial,Trabalha Brasil,Nao,N/A,Suporte Tecnico,Cadastro,Sim,N/A,26/04/2022,N/A,N/A,N/A,
Lider Network Automacao Comercial,Trabalha Brasil,Nao,N/A,Suporte Tecnico,Cadastro,Nao,N/A,26/04/2022,N/A,N/A,N/A,
SOGO Tecnologia,Gupy,Nao,N/A,Suporte Tecnico WordPress,Cadastro,Nao,N/A,27/04/2022,N/A,N/A,N/A,
idezcarreiras,Gupy,Nao,N/A,Suporte Tecnico - Helpdesk,Cadastro,Sim,N/A,27/04/2022,N/A,N/A,N/A,
Dock,Gupy,Nao,N/A,Software Support I (CSOps),Resposta,Sim,N/A,27/04/2022,N/A,05/05/2022,N/A,
Dock,Gupy,Nao,N/A,Software Support I (Acquirer),Cadastro,Sim,N/A,27/04/2022,N/A,N/A,N/A,
Aprova Digital,Gupy,Nao,N/A,Analista de Sucesso de Cliente (CSA),Cadastro,Nao,N/A,27/04/2022,N/A,N/A,N/A,
PicPay,Gupy,Nao,N/A,Pessoa Analista de Prevencao a Fraude,Cadastro,Sim,N/A,27/04/2022,N/A,N/A,N/A,
Grupo Selpe,InfoJobs,Nao,N/A,Assistente de Informatica,Cadastro,Nao,N/A,27/04/2022,N/A,N/A,N/A,
nstech,Greenhouse,Nao,N/A,N/A,Cadastro,Nao,N/A,27/04/2022,N/A,N/A,N/A,
Grupo Fullano,Email,Nao,N/A,Analista de TI,Cadastro,Nao,N/A,28/04/2022,N/A,N/A,N/A,
Tutiplast,Email,Nao,N/A,Assistente de TI,Cadastro,Nao,N/A,28/04/2022,N/A,N/A,N/A,
Grupo A Candido,Email,Sim,Generica,Assistente de processos e qualidade,Entrevista,Nao,N/A,29/04/2022,05/05/2022,16/05/2022,02/05/2022,
Falconi,LinkedIn,Nao,N/A,Cientista de Dados Junior,Cadastro,Sim,Junior,04/05/2022,N/A,N/A,N/A,
Conta Azul,Kenoby,Nao,N/A,Analista de Dados Junior,Cadastro,Sim,Junior,05/05/2022,N/A,N/A,N/A,
BuildInvest,LinkedIn,Nao,N/A,Suporte ao cliente,Cadastro,Nao,N/A,09/05/2022,N/A,10/05/2022,N/A,
FIVE ACTS,Jobs,Sim,Personalizada,Engenheiro(a) de Dados,Entrevista,Sim,N/A,09/05/2022,12/05/2022,13/05/2022,11/05/2022,
CI&T,Site,Nao,N/A,Chatbot Interaction Analyst Junior,Cadastro,Sim,Junior,09/05/2022,N/A,N/A,N/A,
Lanlink,Gupy,Nao,N/A,Tecnino de Suporte 2 nivel,Cadastro,Sim,N/A,09/05/2022,N/A,N/A,N/A,
iPlace,Gupy,Nao,N/A,Assistente Tecnico Tecnologia iPlace - Manaira Shopping,Testes,Nao,N/A,10/05/2022,N/A,N/A,N/A,
SOGO Tecnologia,Gupy,Nao,N/A,Desenvolvedor Front End,Cadastro,Sim,N/A,10/05/2022,N/A,N/A,N/A,
Indra,Gupy,Nao,N/A,Cientista de Dados / Engenheiro ML,Cadastro,Sim,N/A,10/05/2022,N/A,N/A,N/A,
Assurance IT,LinkedIn,Nao,N/A,Desenvolvdor Python Junior,Cadastro,Sim,Junior,13/05/2022,N/A,N/A,N/A,
Effective Consultoria em Carreiras e Negocios,LinkedIn,Nao,N/A,Programador Jr,Cadastro,Sim,Junior,13/05/2022,N/A,N/A,N/A,
Indra,LinkedIn,Nao,N/A,Cientista de Dados,Cadastro,Sim,N/A,13/05/2022,N/A,N/A,N/A,
